Area,Item,Tonnes,Item,Tonnes
Haiti,Sweet potatoes,650347,Sweet potatoes,697364
Honduras,Sweet potatoes,7735,Sweet potatoes,153100
India,Sweet potatoes,1472000,Sweet potatoes,23708
Indonesia,Sweet potatoes,2270617,Sweet potatoes,1113176
Israel,Sweet potatoes,38319,Sweet potatoes,43212
Italy,Sweet potatoes,12456,Sweet potatoes,17
Jamaica,Sweet potatoes,48006,Sweet potatoes,545254
Japan,Sweet potatoes,860700,Sweet potatoes,227
Kenya,Sweet potatoes,697364,Sweet potatoes,2348
Lao People's Democratic Republic,Sweet potatoes,153100,Sweet potatoes,446
Liberia,Sweet potatoes,23708,Sweet potatoes,68435
Madagascar,Sweet potatoes,1113176,Sweet potatoes,3119
Malaysia,Sweet potatoes,43212,Sweet potatoes,31
Maldives,Sweet potatoes,17,Sweet potatoes,16061
Mali,Sweet potatoes,545254,Sweet potatoes,730043
Martinique,Sweet potatoes,227,Sweet potatoes,60989
Mauritania,Sweet potatoes,2348,Sweet potatoes,404
Mauritius,Sweet potatoes,446,Sweet potatoes,11621
Mexico,Sweet potatoes,68435,Sweet potatoes,108924
Micronesia (Federated States of),Sweet potatoes,3119,Sweet potatoes,3916687
Montserrat,Sweet potatoes,31,Sweet potatoes,251
Morocco,Sweet potatoes,16061,Sweet potatoes,3191
Mozambique,Sweet potatoes,730043,Sweet potatoes,11209
Myanmar,Sweet potatoes,60989,Sweet potatoes,700168
New Caledonia,Sweet potatoes,404,Sweet potatoes,49750
New Zealand,Sweet potatoes,11621,Sweet potatoes,269670
Niger,Sweet potatoes,108924,Sweet potatoes,529472
Nigeria,Sweet potatoes,3916687,Sweet potatoes,22901
Niue,Sweet potatoes,251,Sweet potatoes,563
Occupied Palestinian Territory,Sweet potatoes,3191,Sweet potatoes,295466
Pakistan,Sweet potatoes,11209,Sweet potatoes,1138
Papua New Guinea,Sweet potatoes,700168,Sweet potatoes,919123
Paraguay,Sweet potatoes,49750,Sweet potatoes,166
Peru,Sweet potatoes,269670,Sweet potatoes,502
Philippines,Sweet potatoes,529472,Sweet potatoes,2355
Portugal,Sweet potatoes,22901,Sweet potatoes,35056
Puerto Rico,Sweet potatoes,563,Sweet potatoes,311422
Republic of Korea,Sweet potatoes,295466,Sweet potatoes,
R??union,Sweet potatoes,1138,Sweet potatoes,103447
Rwanda,Sweet potatoes,919123,Sweet potatoes,8730
Saint Kitts and Nevis,Sweet potatoes,166,Sweet potatoes,61509
Saint Lucia,Sweet potatoes,502,Sweet potatoes,
Saint Vincent and the Grenadines,Sweet potatoes,2355,Sweet potatoes,13523
Senegal,Sweet potatoes,35056,Sweet potatoes,48964
Sierra Leone,Sweet potatoes,311422,Sweet potatoes,239500
Singapore,Sweet potatoes,,Sweet potatoes,902
Solomon Islands,Sweet potatoes,103447,Sweet potatoes,2452
Somalia,Sweet potatoes,8730,Sweet potatoes,4634
South Africa,Sweet potatoes,61509,Sweet potatoes,6876
South Sudan,Sweet potatoes,,Sweet potatoes,6289
Spain,Sweet potatoes,13523,Sweet potatoes,2153
Sri Lanka,Sweet potatoes,48964,Sweet potatoes,2126989
Sudan,Sweet potatoes,239500,Sweet potatoes,3822872
Suriname,Sweet potatoes,902,Sweet potatoes,1430900
Swaziland,Sweet potatoes,2452,Sweet potatoes,79985
Timor-Leste,Sweet potatoes,4634,Sweet potatoes,18747
Togo,Sweet potatoes,6876,Sweet potatoes,1269301
Tonga,Sweet potatoes,6289,Sweet potatoes,355
Trinidad and Tobago,Sweet potatoes,2153,Sweet potatoes,231881
Uganda,Sweet potatoes,2126989,Sweet potatoes,2064
United Republic of Tanzania,Sweet potatoes,3822872,Sweet potatoes Sum,175984204
United States of America,Sweet potatoes,1430900,Tallowtree seed,1023961
Uruguay,Sweet potatoes,79985,Tallowtree seed,1023961
Venezuela (Bolivarian Republic of),Sweet potatoes,18747,Tallowtree seed Sum,2047922
Viet Nam,Sweet potatoes,1269301,"Tangerines, mandarins, clementines, satsumas Sum",50107665
Yemen,Sweet potatoes,355,Taro (cocoyam) Sum,12016416
Zambia,Sweet potatoes,231881,Tea,89609
Zimbabwe,Sweet potatoes,2064,Tea,1016
,Sweet potatoes Sum,5111275,Tea,64500
China,Tallowtree seed,1023961,Tea,1251
"China, mainland",Tallowtree seed,1023961,Tea,447
,Tallowtree seed Sum,0,Tea,52701
Albania,"Tangerines, mandarins, clementines, satsumas",26104,Tea,5560
Algeria,"Tangerines, mandarins, clementines, satsumas",234165,Tea,2414802
Argentina,"Tangerines, mandarins, clementines, satsumas",468278,Tea,2401784
Australia,"Tangerines, mandarins, clementines, satsumas",125233,Tea,13018
Azerbaijan,"Tangerines, mandarins, clementines, satsumas",39152,Tea,145
Bahamas,"Tangerines, mandarins, clementines, satsumas",817,Tea,3201
Bangladesh,"Tangerines, mandarins, clementines, satsumas",3218,Tea,1334
Bolivia (Plurinational State of),"Tangerines, mandarins, clementines, satsumas",225712,Tea,701
Bosnia and Herzegovina,"Tangerines, mandarins, clementines, satsumas",55,Tea,10806
Brazil,"Tangerines, mandarins, clementines, satsumas",997993,Tea,3000
Burkina Faso,"Tangerines, mandarins, clementines, satsumas",312,Tea,558
Chile,"Tangerines, mandarins, clementines, satsumas",84290,Tea,1252174
China,"Tangerines, mandarins, clementines, satsumas",17315133,Tea,144015
"China, mainland","Tangerines, mandarins, clementines, satsumas",17155493,Tea,75000
"China, Taiwan Province of","Tangerines, mandarins, clementines, satsumas",159640,Tea,80200
Colombia,"Tangerines, mandarins, clementines, satsumas",148950,Tea,473000
Congo,"Tangerines, mandarins, clementines, satsumas",2534,Tea,7300
Cook Islands,"Tangerines, mandarins, clementines, satsumas",0,Tea,387
Croatia,"Tangerines, mandarins, clementines, satsumas",52402,Tea,48486
Cuba,"Tangerines, mandarins, clementines, satsumas",17199,Tea,11300
Cyprus,"Tangerines, mandarins, clementines, satsumas",36935,Tea,95
Djibouti,"Tangerines, mandarins, clementines, satsumas",2,Tea,1353
Ecuador,"Tangerines, mandarins, clementines, satsumas",26643,Tea,100
Egypt,"Tangerines, mandarins, clementines, satsumas",1020492,Tea,33389
El Salvador,"Tangerines, mandarins, clementines, satsumas",5041,Tea,102404
Ethiopia,"Tangerines, mandarins, clementines, satsumas",9156,Tea,23821
France,"Tangerines, mandarins, clementines, satsumas",43134,Tea,0
French Guiana,"Tangerines, mandarins, clementines, satsumas",209,Tea,5680
French Polynesia,"Tangerines, mandarins, clementines, satsumas",16,Tea,3307
Georgia,"Tangerines, mandarins, clementines, satsumas",60000,Tea,73
Greece,"Tangerines, mandarins, clementines, satsumas",129563,Tea,2487
Guadeloupe,"Tangerines, mandarins, clementines, satsumas",28,Tea,837
Haiti,"Tangerines, mandarins, clementines, satsumas",20244,Tea,449
Iran (Islamic Republic of),"Tangerines, mandarins, clementines, satsumas",651571,Tea,25628
Iraq,"Tangerines, mandarins, clementines, satsumas",2711,Tea,17
Israel,"Tangerines, mandarins, clementines, satsumas",164000,Tea,1818
Italy,"Tangerines, mandarins, clementines, satsumas",649148,Tea,349308
Jamaica,"Tangerines, mandarins, clementines, satsumas",5084,Tea,52619
Japan,"Tangerines, mandarins, clementines, satsumas",805100,Tea,243000
Jordan,"Tangerines, mandarins, clementines, satsumas",31491,Tea,63322
Kenya,"Tangerines, mandarins, clementines, satsumas",10172,Tea,36611
Lao People's Democratic Republic,"Tangerines, mandarins, clementines, satsumas",40770,Tea,240000
Lebanon,"Tangerines, mandarins, clementines, satsumas",34722,Tea,937
Libya,"Tangerines, mandarins, clementines, satsumas",10172,Tea,25342
Mali,"Tangerines, mandarins, clementines, satsumas",11707,Tea Sum,8368892
Malta,"Tangerines, mandarins, clementines, satsumas",76,"Tobacco, unmanufactured",1980
Mexico,"Tangerines, mandarins, clementines, satsumas",467451,"Tobacco, unmanufactured",9840
Montenegro,"Tangerines, mandarins, clementines, satsumas",3519,"Tobacco, unmanufactured",
Morocco,"Tangerines, mandarins, clementines, satsumas",1077628,"Tobacco, unmanufactured",2900
Mozambique,"Tangerines, mandarins, clementines, satsumas",441,"Tobacco, unmanufactured",93671
Nepal,"Tangerines, mandarins, clementines, satsumas",146690,"Tobacco, unmanufactured",1132
New Zealand,"Tangerines, mandarins, clementines, satsumas",3553,"Tobacco, unmanufactured",1844
Occupied Palestinian Territory,"Tangerines, mandarins, clementines, satsumas",658,"Tobacco, unmanufactured",143
Pakistan,"Tangerines, mandarins, clementines, satsumas",592132,"Tobacco, unmanufactured",3585
Paraguay,"Tangerines, mandarins, clementines, satsumas",48721,"Tobacco, unmanufactured",87628
Peru,"Tangerines, mandarins, clementines, satsumas",403857,"Tobacco, unmanufactured",132
Philippines,"Tangerines, mandarins, clementines, satsumas",13243,"Tobacco, unmanufactured",3
Portugal,"Tangerines, mandarins, clementines, satsumas",39042,"Tobacco, unmanufactured",175
Republic of Korea,"Tangerines, mandarins, clementines, satsumas",698741,"Tobacco, unmanufactured",1220
R??union,"Tangerines, mandarins, clementines, satsumas",2173,"Tobacco, unmanufactured",2315
South Africa,"Tangerines, mandarins, clementines, satsumas",180092,"Tobacco, unmanufactured",675545
South Sudan,"Tangerines, mandarins, clementines, satsumas",18988,"Tobacco, unmanufactured",15211
Spain,"Tangerines, mandarins, clementines, satsumas",2941971,"Tobacco, unmanufactured",818
Swaziland,"Tangerines, mandarins, clementines, satsumas",815,"Tobacco, unmanufactured",1368
Syrian Arab Republic,"Tangerines, mandarins, clementines, satsumas",27082,"Tobacco, unmanufactured",14362
Thailand,"Tangerines, mandarins, clementines, satsumas",139666,"Tobacco, unmanufactured",6298
Tunisia,"Tangerines, mandarins, clementines, satsumas",68800,"Tobacco, unmanufactured",20369
Turkey,"Tangerines, mandarins, clementines, satsumas",1337037,"Tobacco, unmanufactured",510
United States of America,"Tangerines, mandarins, clementines, satsumas",779787,"Tobacco, unmanufactured",182
Uruguay,"Tangerines, mandarins, clementines, satsumas",95095,"Tobacco, unmanufactured",7561
Uzbekistan,"Tangerines, mandarins, clementines, satsumas",1633,"Tobacco, unmanufactured",2806770
Venezuela (Bolivarian Republic of),"Tangerines, mandarins, clementines, satsumas",158498,"Tobacco, unmanufactured",2805615
Yemen,"Tangerines, mandarins, clementines, satsumas",22027,"Tobacco, unmanufactured",1155
Zimbabwe,"Tangerines, mandarins, clementines, satsumas",13458,"Tobacco, unmanufactured",22371
,"Tangerines, mandarins, clementines, satsumas Sum",11707,"Tobacco, unmanufactured",472
American Samoa,Taro (cocoyam),10790,"Tobacco, unmanufactured",14
Antigua and Barbuda,Taro (cocoyam),42,"Tobacco, unmanufactured",8766
Barbados,Taro (cocoyam),97,"Tobacco, unmanufactured",8977
Benin,Taro (cocoyam),1578,"Tobacco, unmanufactured",19700
Burundi,Taro (cocoyam),44927,"Tobacco, unmanufactured",120
Cameroon,Taro (cocoyam),1803667,"Tobacco, unmanufactured",82727
Central African Republic,Taro (cocoyam),129218,"Tobacco, unmanufactured",3922
Chad,Taro (cocoyam),18974,"Tobacco, unmanufactured",12935
China,Taro (cocoyam),1887464,"Tobacco, unmanufactured",9391
"China, mainland",Taro (cocoyam),1848047,"Tobacco, unmanufactured",1739
"China, Taiwan Province of",Taro (cocoyam),39417,"Tobacco, unmanufactured",2163
Comoros,Taro (cocoyam),10851,"Tobacco, unmanufactured",453
C??te d'Ivoire,Taro (cocoyam),57797,"Tobacco, unmanufactured",8801
Cyprus,Taro (cocoyam),1759,"Tobacco, unmanufactured",338
Democratic Republic of the Congo,Taro (cocoyam),69502,"Tobacco, unmanufactured",6134
Dominica,Taro (cocoyam),12255,"Tobacco, unmanufactured",2580
Egypt,Taro (cocoyam),90329,"Tobacco, unmanufactured",29216
Fiji,Taro (cocoyam),63226,"Tobacco, unmanufactured",
French Guiana,Taro (cocoyam),4077,"Tobacco, unmanufactured",29742
Gabon,Taro (cocoyam),75272,"Tobacco, unmanufactured",2405
Ghana,Taro (cocoyam),1301181,"Tobacco, unmanufactured",93
Guinea,Taro (cocoyam),130666,"Tobacco, unmanufactured",567
Guyana,Taro (cocoyam),5876,"Tobacco, unmanufactured",5919
Japan,Taro (cocoyam),154600,"Tobacco, unmanufactured",8100
Kiribati,Taro (cocoyam),2056,"Tobacco, unmanufactured",761318
Lebanon,Taro (cocoyam),721,"Tobacco, unmanufactured",196154
Liberia,Taro (cocoyam),27896,"Tobacco, unmanufactured",21223
Madagascar,Taro (cocoyam),241854,"Tobacco, unmanufactured",2292
Maldives,Taro (cocoyam),103,"Tobacco, unmanufactured",4
Mauritius,Taro (cocoyam),1151,"Tobacco, unmanufactured",48470
New Caledonia,Taro (cocoyam),682,"Tobacco, unmanufactured",1639
Nicaragua,Taro (cocoyam),47914,"Tobacco, unmanufactured",17900
Nigeria,Taro (cocoyam),3175842,"Tobacco, unmanufactured",0
Niue,Taro (cocoyam),3042,"Tobacco, unmanufactured",1010
Occupied Palestinian Territory,Taro (cocoyam),36,"Tobacco, unmanufactured",9619
Papua New Guinea,Taro (cocoyam),273740,"Tobacco, unmanufactured",470
Philippines,Taro (cocoyam),107569,"Tobacco, unmanufactured",66800
Republic of Korea,Taro (cocoyam),,"Tobacco, unmanufactured",8781
Rwanda,Taro (cocoyam),166189,"Tobacco, unmanufactured",1308
Saint Lucia,Taro (cocoyam),499,"Tobacco, unmanufactured",1635
Samoa,Taro (cocoyam),25850,"Tobacco, unmanufactured",84962
Sao Tome and Principe,Taro (cocoyam),2362,"Tobacco, unmanufactured",1134
Sierra Leone,Taro (cocoyam),2414,"Tobacco, unmanufactured",1874
Solomon Islands,Taro (cocoyam),46064,"Tobacco, unmanufactured",41
Thailand,Taro (cocoyam),101511,"Tobacco, unmanufactured",15864
Togo,Taro (cocoyam),17910,"Tobacco, unmanufactured",134
Tonga,Taro (cocoyam),3138,"Tobacco, unmanufactured",1180
Trinidad and Tobago,Taro (cocoyam),2424,"Tobacco, unmanufactured",92995
Turkey,Taro (cocoyam),636,"Tobacco, unmanufactured",27352
United States of America,Taro (cocoyam),1582,"Tobacco, unmanufactured",618
Wallis and Futuna Islands,Taro (cocoyam),1619,"Tobacco, unmanufactured",
,Taro (cocoyam) Sum,0,"Tobacco, unmanufactured",5103
Argentina,Tea,89609,"Tobacco, unmanufactured",1800
Azerbaijan,Tea,1016,"Tobacco, unmanufactured",4082
Bangladesh,Tea,64500,"Tobacco, unmanufactured",328
Bolivia (Plurinational State of),Tea,1251,"Tobacco, unmanufactured",1144
Brazil,Tea,447,"Tobacco, unmanufactured",116157
Burundi,Tea,52701,"Tobacco, unmanufactured",2714
Cameroon,Tea,5560,"Tobacco, unmanufactured",5971
China,Tea,2414802,"Tobacco, unmanufactured",720
"China, mainland",Tea,2401784,"Tobacco, unmanufactured",56457
"China, Taiwan Province of",Tea,13018,"Tobacco, unmanufactured",31201
Colombia,Tea,145,"Tobacco, unmanufactured",285
Democratic Republic of the Congo,Tea,3201,"Tobacco, unmanufactured",1
Ecuador,Tea,1334,"Tobacco, unmanufactured",28569
El Salvador,Tea,701,"Tobacco, unmanufactured",850
Ethiopia,Tea,10806,"Tobacco, unmanufactured",16
Georgia,Tea,3000,"Tobacco, unmanufactured",1656
Guatemala,Tea,558,"Tobacco, unmanufactured",
India,Tea,1252174,"Tobacco, unmanufactured",5165
Indonesia,Tea,144015,"Tobacco, unmanufactured",102
Iran (Islamic Republic of),Tea,75000,"Tobacco, unmanufactured",234
Japan,Tea,80200,"Tobacco, unmanufactured",
Kenya,Tea,473000,"Tobacco, unmanufactured",7810
Lao People's Democratic Republic,Tea,7300,"Tobacco, unmanufactured",45
Madagascar,Tea,387,"Tobacco, unmanufactured",0
Malawi,Tea,48486,"Tobacco, unmanufactured",5
Malaysia,Tea,11300,"Tobacco, unmanufactured",113
Mali,Tea,95,"Tobacco, unmanufactured",140
Mauritius,Tea,1353,"Tobacco, unmanufactured",14700
Montenegro,Tea,100,"Tobacco, unmanufactured",29434
Mozambique,Tea,33389,"Tobacco, unmanufactured",3189
Myanmar,Tea,102404,"Tobacco, unmanufactured",165
Nepal,Tea,23821,"Tobacco, unmanufactured",
Panama,Tea,0,"Tobacco, unmanufactured",1013
Papua New Guinea,Tea,5680,"Tobacco, unmanufactured",12393
Peru,Tea,3307,"Tobacco, unmanufactured",179
Portugal,Tea,73,"Tobacco, unmanufactured",60826
Republic of Korea,Tea,2487,"Tobacco, unmanufactured",25443
R??union,Tea,837,"Tobacco, unmanufactured",
Russian Federation,Tea,449,"Tobacco, unmanufactured",1910
Rwanda,Tea,25628,"Tobacco, unmanufactured",212
Seychelles,Tea,17,"Tobacco, unmanufactured",3144
South Africa,Tea,1818,"Tobacco, unmanufactured",70000
Sri Lanka,Tea,349308,"Tobacco, unmanufactured",3246
Thailand,Tea,52619,"Tobacco, unmanufactured",31476
Turkey,Tea,243000,"Tobacco, unmanufactured",940
Uganda,Tea,63322,"Tobacco, unmanufactured",290
United Republic of Tanzania,Tea,36611,"Tobacco, unmanufactured",102473
Viet Nam,Tea,240000,"Tobacco, unmanufactured",285181
Zambia,Tea,937,"Tobacco, unmanufactured",3203
Zimbabwe,Tea,25342,"Tobacco, unmanufactured",3989
,Tea Sum,0,"Tobacco, unmanufactured",1406
Albania,"Tobacco, unmanufactured",1980,"Tobacco, unmanufactured",29215
Algeria,"Tobacco, unmanufactured",9840,"Tobacco, unmanufactured",18
American Samoa,"Tobacco, unmanufactured",,"Tobacco, unmanufactured",24629
Angola,"Tobacco, unmanufactured",2900,"Tobacco, unmanufactured",124642
Argentina,"Tobacco, unmanufactured",93671,"Tobacco, unmanufactured",172266
Armenia,"Tobacco, unmanufactured",1132,"Tobacco, unmanufactured Sum",9471004
Australia,"Tobacco, unmanufactured",1844,Tomatoes,284552
Austria,"Tobacco, unmanufactured",143,Tomatoes,1280570
Azerbaijan,"Tobacco, unmanufactured",3585,Tomatoes,71
Bangladesh,"Tobacco, unmanufactured",87628,Tomatoes,16240
Belgium,"Tobacco, unmanufactured",132,Tomatoes,511
Benin,"Tobacco, unmanufactured",3,Tomatoes,664009
Bhutan,"Tobacco, unmanufactured",175,Tomatoes,298140
Bolivia (Plurinational State of),"Tobacco, unmanufactured",1220,Tomatoes,405167
Bosnia and Herzegovina,"Tobacco, unmanufactured",2315,Tomatoes,55068
Brazil,"Tobacco, unmanufactured",675545,Tomatoes,502769
Bulgaria,"Tobacco, unmanufactured",15211,Tomatoes,4440
Burkina Faso,"Tobacco, unmanufactured",818,Tomatoes,4045
Burundi,"Tobacco, unmanufactured",1368,Tomatoes,368121
Cambodia,"Tobacco, unmanufactured",14362,Tomatoes,308
Cameroon,"Tobacco, unmanufactured",6298,Tomatoes,282625
Canada,"Tobacco, unmanufactured",20369,Tomatoes,259535
Central African Republic,"Tobacco, unmanufactured",510,Tomatoes,2858
Chad,"Tobacco, unmanufactured",182,Tomatoes,335412
Chile,"Tobacco, unmanufactured",7561,Tomatoes,134
China,"Tobacco, unmanufactured",2806770,Tomatoes,587
"China, mainland","Tobacco, unmanufactured",2805615,Tomatoes,61531
"China, Taiwan Province of","Tobacco, unmanufactured",1155,Tomatoes,57070
Colombia,"Tobacco, unmanufactured",22371,Tomatoes,4167629
Congo,"Tobacco, unmanufactured",472,Tomatoes,142
Costa Rica,"Tobacco, unmanufactured",14,Tomatoes,141367
C??te d'Ivoire,"Tobacco, unmanufactured",8766,Tomatoes,12484
Croatia,"Tobacco, unmanufactured",8977,Tomatoes,15133
Cuba,"Tobacco, unmanufactured",19700,Tomatoes,1182114
Cyprus,"Tobacco, unmanufactured",120,Tomatoes,489003
Democratic People's Republic of Korea,"Tobacco, unmanufactured",82727,Tomatoes,5
Democratic Republic of the Congo,"Tobacco, unmanufactured",3922,Tomatoes,997174
Dominican Republic,"Tobacco, unmanufactured",12935,Tomatoes,56423811
Ecuador,"Tobacco, unmanufactured",9391,Tomatoes,40
El Salvador,"Tobacco, unmanufactured",1739,Tomatoes,56308914
Ethiopia,"Tobacco, unmanufactured",2163,Tomatoes,114857
Fiji,"Tobacco, unmanufactured",453,Tomatoes,644642
France,"Tobacco, unmanufactured",8801,Tomatoes,664
Georgia,"Tobacco, unmanufactured",338,Tomatoes,4155
Germany,"Tobacco, unmanufactured",6134,Tomatoes,281
Ghana,"Tobacco, unmanufactured",2580,Tomatoes,64800
Greece,"Tobacco, unmanufactured",29216,Tomatoes,29037
Guadeloupe,"Tobacco, unmanufactured",,Tomatoes,30707
Guatemala,"Tobacco, unmanufactured",29742,Tomatoes,481470
Guinea,"Tobacco, unmanufactured",2405,Tomatoes,22766
Guyana,"Tobacco, unmanufactured",93,Tomatoes,14350
Haiti,"Tobacco, unmanufactured",567,Tomatoes,66261
Honduras,"Tobacco, unmanufactured",5919,Tomatoes,49201
Hungary,"Tobacco, unmanufactured",8100,Tomatoes,10580
India,"Tobacco, unmanufactured",761318,Tomatoes,1713
Indonesia,"Tobacco, unmanufactured",196154,Tomatoes,376
Iran (Islamic Republic of),"Tobacco, unmanufactured",21223,Tomatoes,220631
Iraq,"Tobacco, unmanufactured",2292,Tomatoes,55550
Israel,"Tobacco, unmanufactured",4,Tomatoes,7943285
Italy,"Tobacco, unmanufactured",48470,Tomatoes,18114
Jamaica,"Tobacco, unmanufactured",1639,Tomatoes,2312
Japan,"Tobacco, unmanufactured",17900,Tomatoes,28365
Jordan,"Tobacco, unmanufactured",0,Tomatoes,364
Kazakhstan,"Tobacco, unmanufactured",1010,Tomatoes,40621
Kenya,"Tobacco, unmanufactured",9619,Tomatoes,640940
Kyrgyzstan,"Tobacco, unmanufactured",470,Tomatoes,4665
Lao People's Democratic Republic,"Tobacco, unmanufactured",66800,Tomatoes,1272
Lebanon,"Tobacco, unmanufactured",8781,Tomatoes,410
Libya,"Tobacco, unmanufactured",1308,Tomatoes,54100
Madagascar,"Tobacco, unmanufactured",1635,Tomatoes,85287
Malawi,"Tobacco, unmanufactured",84962,Tomatoes,366772
Malaysia,"Tobacco, unmanufactured",1134,Tomatoes,1044346
Mali,"Tobacco, unmanufactured",1874,Tomatoes,364
Mauritius,"Tobacco, unmanufactured",41,Tomatoes,5183
Mexico,"Tobacco, unmanufactured",15864,Tomatoes,314
Montenegro,"Tobacco, unmanufactured",134,Tomatoes,314598
Morocco,"Tobacco, unmanufactured",1180,Tomatoes,19092
Mozambique,"Tobacco, unmanufactured",92995,Tomatoes,2362
Myanmar,"Tobacco, unmanufactured",27352,Tomatoes,163380
Nepal,"Tobacco, unmanufactured",618,Tomatoes,198801
New Zealand,"Tobacco, unmanufactured",,Tomatoes,1436
Nicaragua,"Tobacco, unmanufactured",5103,Tomatoes,18399000
Niger,"Tobacco, unmanufactured",1800,Tomatoes,883242
Nigeria,"Tobacco, unmanufactured",4082,Tomatoes,6372633
Occupied Palestinian Territory,"Tobacco, unmanufactured",328,Tomatoes,286596
Oman,"Tobacco, unmanufactured",1144,Tomatoes,4000
Pakistan,"Tobacco, unmanufactured",116157,Tomatoes,385550
Panama,"Tobacco, unmanufactured",2714,Tomatoes,6437572
Paraguay,"Tobacco, unmanufactured",5971,Tomatoes,31427
Peru,"Tobacco, unmanufactured",720,Tomatoes,743200
Philippines,"Tobacco, unmanufactured",56457,Tomatoes,837342
Poland,"Tobacco, unmanufactured",31201,Tomatoes,705550
Portugal,"Tobacco, unmanufactured",285,Tomatoes,410033
Puerto Rico,"Tobacco, unmanufactured",1,Tomatoes,76891
Republic of Korea,"Tobacco, unmanufactured",28569,Tomatoes,234718
Republic of Moldova,"Tobacco, unmanufactured",850,Tomatoes,5821
R??union,"Tobacco, unmanufactured",16,Tomatoes,291256
Romania,"Tobacco, unmanufactured",1656,Tomatoes,2681
Russian Federation,"Tobacco, unmanufactured",,Tomatoes,215767
Rwanda,"Tobacco, unmanufactured",5165,Tomatoes,10988
Saint Vincent and the Grenadines,"Tobacco, unmanufactured",102,Tomatoes,123
Samoa,"Tobacco, unmanufactured",234,Tomatoes,41996
Senegal,"Tobacco, unmanufactured",,Tomatoes,41644
Serbia,"Tobacco, unmanufactured",7810,Tomatoes,242946
Sierra Leone,"Tobacco, unmanufactured",45,Tomatoes,270
Singapore,"Tobacco, unmanufactured",0,Tomatoes,201694
Slovakia,"Tobacco, unmanufactured",5,Tomatoes,12380
Solomon Islands,"Tobacco, unmanufactured",113,Tomatoes,4306
Somalia,"Tobacco, unmanufactured",140,Tomatoes,10136
South Africa,"Tobacco, unmanufactured",14700,Tomatoes,4047171
Spain,"Tobacco, unmanufactured",29434,Tomatoes,4464
Sri Lanka,"Tobacco, unmanufactured",3189,Tomatoes,237
Swaziland,"Tobacco, unmanufactured",165,Tomatoes,1231248
Sweden,"Tobacco, unmanufactured",,Tomatoes,374000
Switzerland,"Tobacco, unmanufactured",1013,Tomatoes,9327
Syrian Arab Republic,"Tobacco, unmanufactured",12393,Tomatoes,900000
Tajikistan,"Tobacco, unmanufactured",179,Tomatoes,91267
Thailand,"Tobacco, unmanufactured",60826,Tomatoes,74272
The former Yugoslav Republic of Macedonia,"Tobacco, unmanufactured",25443,Tomatoes,269079
Timor-Leste,"Tobacco, unmanufactured",,Tomatoes,2243228
Togo,"Tobacco, unmanufactured",1910,Tomatoes,11141
Trinidad and Tobago,"Tobacco, unmanufactured",212,Tomatoes,221466
Tunisia,"Tobacco, unmanufactured",3144,Tomatoes,111072
Turkey,"Tobacco, unmanufactured",70000,Tomatoes,575923
Turkmenistan,"Tobacco, unmanufactured",3246,Tomatoes,18167
Uganda,"Tobacco, unmanufactured",31476,Tomatoes,572
Ukraine,"Tobacco, unmanufactured",940,Tomatoes,50735
United Arab Emirates,"Tobacco, unmanufactured",290,Tomatoes,232898
United Republic of Tanzania,"Tobacco, unmanufactured",102473,Tomatoes,210720
United States of America,"Tobacco, unmanufactured",285181,Tomatoes,866980
Uruguay,"Tobacco, unmanufactured",3203,Tomatoes,1693860
Uzbekistan,"Tobacco, unmanufactured",3989,Tomatoes,17970
Venezuela (Bolivarian Republic of),"Tobacco, unmanufactured",1406,Tomatoes,12694
Viet Nam,"Tobacco, unmanufactured",29215,Tomatoes,466992
Wallis and Futuna Islands,"Tobacco, unmanufactured",18,Tomatoes,54641
Yemen,"Tobacco, unmanufactured",24629,Tomatoes,5185
Zambia,"Tobacco, unmanufactured",124642,Tomatoes,627177
Zimbabwe,"Tobacco, unmanufactured",172266,Tomatoes,2986209
,"Tobacco, unmanufactured Sum",1132,Tomatoes,118774
Albania,Tomatoes,284552,Tomatoes,209
Algeria,Tomatoes,1280570,Tomatoes,295
American Samoa,Tomatoes,71,Tomatoes,7
Angola,Tomatoes,16240,Tomatoes,503217
Antigua and Barbuda,Tomatoes,511,Tomatoes,162700
Argentina,Tomatoes,664009,Tomatoes,160456
Armenia,Tomatoes,298140,Tomatoes,456
Australia,Tomatoes,405167,Tomatoes,20352
Austria,Tomatoes,55068,Tomatoes,66
Azerbaijan,Tomatoes,502769,Tomatoes,18922
Bahamas,Tomatoes,4440,Tomatoes,8652
Bahrain,Tomatoes,4045,Tomatoes,27331
Bangladesh,Tomatoes,368121,Tomatoes,580851
Barbados,Tomatoes,308,Tomatoes,4671807
Belarus,Tomatoes,282625,Tomatoes,91967
Belgium,Tomatoes,259535,Tomatoes,617400
Belize,Tomatoes,2858,Tomatoes,1500
Benin,Tomatoes,335412,Tomatoes,5504
Bermuda,Tomatoes,134,Tomatoes,14620
Bhutan,Tomatoes,587,Tomatoes,41965
Bolivia (Plurinational State of),Tomatoes,61531,Tomatoes,704732
Bosnia and Herzegovina,Tomatoes,57070,Tomatoes,361531
Brazil,Tomatoes,4167629,Tomatoes,113326
Brunei Darussalam,Tomatoes,142,Tomatoes,161951
Bulgaria,Tomatoes,141367,Tomatoes,561
Burkina Faso,Tomatoes,12484,Tomatoes,5582
Cabo Verde,Tomatoes,15133,Tomatoes,861
